Iteration	Shared-Bike_travel	Shared-Bike_wait	bike_travel	bike_wait	car_travel	car_wait	car_passenger_travel	car_passenger_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	0	0	0	0	2115	0	227	0	33	28	0	0	751	0
1	1	0	2	0	2066	0	230	0	107	172	0	-36	728	0
2	3	0	2	0	2026	0	234	0	156	248	0	-43	738	0
3	3	0	2	0	1995	0	237	0	191	313	0	-67	750	0
4	3	0	2	0	1975	0	238	0	213	346	0	-65	745	0
5	4	0	2	0	1976	0	239	0	222	367	0	-68	724	0
6	4	0	2	0	1976	0	241	0	233	391	0	-69	722	0
7	5	0	3	0	1964	0	242	0	250	415	0	-87	703	0
8	5	0	3	0	1967	0	243	0	254	423	0	-118	678	0
9	5	0	3	0	1967	0	243	0	260	427	0	-95	661	0
10	6	0	3	0	1958	0	244	0	265	437	0	-155	678	0
11	7	0	3	0	1953	0	244	0	272	460	0	-180	675	0
12	7	0	4	0	1947	0	244	0	279	461	0	-132	673	0
13	8	0	5	0	1942	0	244	0	287	469	0	-151	668	0
14	9	0	5	0	1943	0	245	0	291	474	0	-151	676	0
15	8	0	4	0	1947	0	245	0	291	478	0	-144	671	0
16	8	0	4	0	1948	0	245	0	288	478	0	-139	657	0
17	7	0	5	0	1951	0	245	0	287	479	0	-151	646	0
18	7	0	5	0	1941	0	245	0	297	494	0	-126	656	0
19	7	0	5	0	1940	0	245	0	296	483	0	-93	644	0
20	7	0	5	0	1944	0	245	0	291	485	0	-112	631	0
21	7	0	5	0	1948	0	245	0	292	496	0	-105	630	0
22	7	0	7	0	1939	0	245	0	296	509	0	-113	640	0
23	7	0	3	0	1937	0	245	0	302	533	0	-105	654	0
24	6	0	3	0	1937	0	245	0	301	529	0	-106	656	0
25	6	0	3	0	1938	0	245	0	301	519	0	-80	661	0
26	7	0	4	0	1931	0	245	0	303	519	0	-110	665	0
27	7	0	4	0	1929	0	245	0	302	512	0	-104	674	0
28	6	0	4	0	1933	0	245	0	302	506	0	-103	668	0
29	7	0	5	0	1935	0	245	0	300	506	0	-86	662	0
30	6	0	5	0	1932	0	245	0	299	508	0	-168	655	0
31	6	0	5	0	1930	0	246	0	297	506	0	-172	660	0
32	7	0	5	0	1936	0	246	0	296	503	0	-136	648	0
33	7	0	3	0	1945	0	246	0	297	503	0	-129	650	0
34	8	0	5	0	1937	0	246	0	295	499	0	-188	649	0
35	8	0	6	0	1934	0	246	0	297	512	0	-129	658	0
36	7	0	6	0	1927	0	246	0	304	525	0	-149	660	0
37	8	0	6	0	1924	0	246	0	305	526	0	-134	658	0
38	7	0	5	0	1923	0	246	0	308	535	0	-158	667	0
39	8	0	3	0	1932	0	246	0	305	526	0	-145	653	0
40	7	0	3	0	1934	0	246	0	306	525	0	-92	657	0
41	6	0	3	0	1939	0	246	0	302	520	0	-88	658	0
42	6	0	3	0	1938	0	246	0	302	513	0	-131	651	0
43	7	0	3	0	1932	0	246	0	303	513	0	-117	664	0
44	8	0	4	0	1931	0	245	0	301	511	0	-117	658	0
45	8	0	4	0	1928	0	245	0	303	515	0	-157	673	0
46	8	0	4	0	1928	0	245	0	303	515	0	-157	673	0
47	8	0	4	0	1928	0	245	0	303	515	0	-157	673	0
48	8	0	4	0	1928	0	245	0	303	515	0	-157	673	0
49	8	0	4	0	1928	0	245	0	303	515	0	-157	673	0
50	8	0	4	0	1928	0	245	0	303	515	0	-157	673	0
