Iteration	Shared-Bike	bike	car	car_passenger	pt	walk
0	0	0	69114	9057	1151	3244
1	16	24	66648	9056	4068	3148
2	31	24	64731	9052	5892	3188
3	32	24	63445	9049	7230	3242
4	38	24	62630	9041	8015	3218
5	52	27	62440	9039	8364	3128
6	48	27	62229	9034	8720	3118
7	63	31	61778	9031	9362	3038
8	59	30	61870	9013	9529	2931
9	59	36	61802	9008	9760	2855
10	77	36	61418	9006	9967	2931
11	87	33	61172	9005	10269	2916
12	87	48	60962	9004	10573	2907
13	98	58	60705	9004	10837	2885
14	107	53	60661	9006	10908	2921
15	99	45	60845	9007	10933	2901
16	93	45	60927	9001	10839	2838
17	90	51	61038	9000	10830	2790
18	84	53	60648	8992	11153	2834
19	92	58	60667	8990	11091	2782
20	91	56	60884	8992	10927	2727
21	93	52	60990	8990	10966	2722
22	88	73	60697	9001	11130	2764
23	84	36	60500	8999	11355	2828
24	70	38	60459	8989	11325	2835
25	75	38	60490	8989	11296	2854
26	89	40	60320	8987	11360	2875
27	90	40	60325	8987	11355	2911
28	76	47	60405	8987	11317	2887
29	85	51	60461	8990	11253	2859
30	80	56	60373	8991	11211	2832
31	81	59	60383	8992	11157	2852
32	91	55	60564	8992	11123	2801
33	89	28	60836	8995	11144	2810
34	93	55	60685	8997	11094	2806
35	96	64	60565	8995	11166	2844
36	85	67	60244	8994	11419	2852
37	95	64	60130	8995	11428	2845
38	93	53	60033	8997	11540	2883
39	96	34	60322	8993	11443	2823
40	86	33	60427	8993	11464	2839
41	76	35	60641	8992	11272	2841
42	70	36	60626	8991	11224	2814
43	88	32	60356	8991	11340	2868
44	93	42	60316	8992	11249	2842
45	97	46	60291	8992	11343	2908
46	97	46	60291	8992	11343	2908
47	97	46	60291	8992	11343	2908
48	97	46	60291	8992	11343	2908
49	97	46	60291	8992	11343	2908
50	97	46	60291	8992	11343	2908
