ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1.5367488931056288	-1.5367488931056288	-1.5367488931056288	-1.5367488931056288
1	-1.6838114941317017	-1.993372689577622	-1.610280457164944	-1.227188224752268
2	-1.8321130262140668	-1.8579038407477646	-1.7579548369526987	-1.6580058331576357
3	-2.1145183252512463	-2.138731463911728	-2.041528173097196	-1.94432488228266
4	-2.1146367453791526	-2.2776857122777425	-2.046374569541077	-1.8150634268044117
5	-2.250912485065708	-2.269865679246606	-2.0468294943425396	-1.823793309438467
6	-2.117730515145125	-2.5407485592803405	-2.2524871301567213	-1.9642257010330983
7	-2.3920391454072645	-2.685122285473326	-2.390975165155665	-2.0968280448380043
8	-2.7969275774826072	-3.086189120809614	-2.730866671937592	-2.375544223065565
9	-2.5202699592381728	-2.8093779429334442	-2.5902600323283385	-2.3711421217232362
10	-3.073971203176609	-3.0817163012158275	-2.7290603696675757	-2.3764044381193297
11	-3.2110457516339896	-3.3620427472064107	-3.2107110039356224	-3.0593792606648376
12	-2.801834106402416	-3.364328571930567	-2.9386230146180328	-2.512917457305503
13	-3.0776949363974984	-3.226196236559141	-2.871898235996908	-2.517600235434678
14	-2.946129998594418	-3.367277830487035	-3.012081181038722	-2.6568845315904155
15	-2.8086064551268537	-3.0922838920514413	-2.9455063163258117	-2.7987287406001826
16	-2.8023144634197785	-3.2264979970482885	-2.8732124973645408	-2.519926997680793
17	-2.9355400941738745	-3.2252356103731854	-2.868856472696614	-2.5124773350200282
18	-2.801059895284283	-2.9503247768641545	-2.663923413451403	-2.3775220500386527
19	-2.5246426312460475	-2.8115572949609957	-2.458483159392792	-2.1054090238245826
20	-2.7934092346616053	-2.9419491004287046	-2.86347059702017	-2.784992093611637
21	-2.658503847775666	-2.942150889029448	-2.726018562442896	-2.509886235856348
22	-2.7962704687609805	-2.8050325918897996	-2.727138853749384	-2.649245115608966
23	-2.664075040410429	-2.6742075163398678	-2.593776222854733	-2.513344929369596
24	-2.799844068451758	-2.94980444866119	-2.800188303816151	-2.650572158971115
25	-2.529054835195731	-2.9486090027408824	-2.5963074530887678	-2.2440059034366455
26	-2.8045401995923833	-2.8151917738421544	-2.599305643404318	-2.3834195129664786
27	-2.6698676997680777	-2.8169479583948274	-2.737235355611776	-2.6575227528287293
28	-2.667126906318084	-3.0899001159603676	-2.6684983572281973	-2.2470965984960283
29	-2.393755270925572	-3.0864932532152727	-2.7347541991707085	-2.3830151451261514
30	-3.209403946166286	-3.218402646004644	-2.9375071596739004	-2.6566116733431686
31	-3.2096985909059015	-3.6296078431372547	-3.2097722081664286	-2.789936573195585
32	-2.799275247733504	-3.2183400976878254	-3.004692134022073	-2.791044170356316
33	-2.9382262456954105	-2.948548299248018	-2.8000763844964527	-2.651604469744886
34	-3.3459172288987262	-3.4940612481551727	-3.2785677577482604	-3.0630742673413476
35	-2.939725648323841	-3.2214165612481507	-2.938417097125587	-2.6554176330030184
36	-3.2124171586197177	-3.495353415559773	-3.1443026565464907	-2.7932518975332052
37	-3.2127208517815693	-3.2240413064867486	-3.0761165577342044	-2.9281918089816545
38	-3.3511073336144523	-3.7715946306838153	-3.4179969165085433	-3.0643992023332616
39	-3.2117248225455057	-3.6324000281116042	-3.349638546278726	-3.0668770644458436
40	-2.530176751704267	-3.2253203844261686	-2.8028158162906696	-2.380311248155174
41	-2.5290823318574716	-3.086203879401219	-2.5977996521189106	-2.1093954248366016
42	-2.798566659638762	-2.8128392719094766	-2.7320859687961194	-2.6513326656827565
43	-2.8046859406845126	-3.08961399255042	-2.869528954951151	-2.649443917351881
44	-2.6661361480075856	-2.8133791903858283	-2.734963015672214	-2.656546840958601
45	-2.9447214315833823	-2.9542774439524893	-2.8057717513528675	-2.657266058753247
46	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823
47	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823
48	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823
49	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823
50	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823	-2.9447214315833823
