Iteration	PT_standardBikeShare	PT_standardeScooter	bike	car	car_passenger	pt	sharing:standardBikeShare	sharing:standardeScooter	standardBikeShare_PT	standardBikeShare_PT_standardBikeShare	standardeScooter_PT	standardeScooter_PT_standardeScooter	walk
0	0.0	0.0	0.0	0.7409600145732762	0.08142818107295746	0.020949084616085252	0.0	0.0	0.0	0.0	0.0	0.0	0.15666271973768103
1	0.0	0.005738227525275526	0.0	0.6944166135349303	0.08142818107295746	0.02522998451589398	0.023135076054285456	0.013024865652609527	9.108297659167502E-5	0.0	6.375808361417251E-4	9.108297659167502E-5	0.15620730485472265
2	0.0	0.010201293378267601	9.108297659167502E-5	0.662264322798069	0.08142818107295746	0.027507058930685856	0.040623007559887056	0.020220420803351853	1.8216595318335004E-4	0.0	9.108297659167502E-4	1.8216595318335004E-4	0.156389470807906
3	9.108297659167502E-5	0.012569450769651153	1.8216595318335004E-4	0.6311139448037162	0.08142818107295746	0.02923763548592768	0.05592494762728846	0.025321067492485656	3.643319063667001E-4	0.0	0.0010019127425084252	4.554148829583751E-4	0.16230986428636487
4	9.108297659167502E-5	0.014846525184443028	9.108297659167502E-5	0.6091629474451226	0.08142818107295746	0.030057382275252755	0.06831223244375627	0.02905546953274433	5.464978595500501E-4	0.0	0.0010929957191001002	6.375808361417251E-4	0.16467802167774842
5	9.108297659167502E-5	0.0167592676928682	2.7324892977502506E-4	0.5934055924947628	0.08142818107295746	0.03033063120502778	0.07742053010292377	0.0338828672921031	5.464978595500501E-4	0.0	0.0010929957191001002	5.464978595500501E-4	0.16422260679479006
6	2.7324892977502506E-4	0.018854176154476727	2.7324892977502506E-4	0.5820202204208034	0.08142818107295746	0.03215229073686128	0.08188359595591584	0.03524911194097823	8.197467893250751E-4	0.0	9.108297659167502E-4	6.375808361417251E-4	0.1654977684670735
7	9.108297659167502E-5	0.02140449949904363	3.643319063667001E-4	0.575097914199836	0.08142818107295746	0.03515802896438656	0.08334092358138263	0.03615994170689498	0.0010019127425084252	0.0	8.197467893250751E-4	4.554148829583751E-4	0.16467802167774842
8	1.8216595318335004E-4	0.022042080335185354	4.554148829583751E-4	0.5743692503871026	0.08142818107295746	0.03506694598779488	0.08324984060479096	0.038163767191911835	7.286638127334002E-4	0.0	0.0010019127425084252	5.464978595500501E-4	0.16276527916932326
9	1.8216595318335004E-4	0.022861827124510428	4.554148829583751E-4	0.5657163676108935	0.08142818107295746	0.03515802896438656	0.08907915110665816	0.04089625648966208	9.108297659167502E-4	0.0	8.197467893250751E-4	9.108297659167502E-4	0.16158120047363148
10	9.108297659167502E-5	0.024228071773385554	4.554148829583751E-4	0.563621459149285	0.08142818107295746	0.03543127789416158	0.08889698515347481	0.04262683304490391	7.286638127334002E-4	0.0	0.0010929957191001002	9.108297659167502E-4	0.16048820475453138
11	0.0	0.023681573913835505	5.464978595500501E-4	0.5617997996174515	0.08142818107295746	0.03424719919846981	0.0926313871937335	0.04162492030239548	7.286638127334002E-4	0.0	0.001184078695691775	9.108297659167502E-4	0.16121686856726478
12	0.0	0.025138901539302306	6.375808361417251E-4	0.5566080699517261	0.08142818107295746	0.03324528645596138	0.09581929137444212	0.04226250113853721	6.375808361417251E-4	0.0	0.0010929957191001002	0.0010019127425084252	0.16212769833318152
13	0.0	0.02377265689042718	5.464978595500501E-4	0.552418253028509	0.08142818107295746	0.0335185353857364	0.10046452318061755	0.04362874578741233	7.286638127334002E-4	0.0	0.001184078695691775	0.0010929957191001002	0.16121686856726478
14	0.0	0.024774569632935603	5.464978595500501E-4	0.549048182894617	0.08142818107295746	0.034156116221878134	0.10073777211039257	0.04408416067037071	8.197467893250751E-4	0.0	0.0014573276254668003	0.0010929957191001002	0.16185444940340651
15	0.0	0.025138901539302306	3.643319063667001E-4	0.5478641041989252	0.08142818107295746	0.03479369705801986	0.09946261043810911	0.04563257127242918	9.108297659167502E-4	0.0	0.0017305765552418253	0.0010019127425084252	0.16167228345022316
16	9.108297659167502E-5	0.024592403679752253	4.554148829583751E-4	0.5496857637307587	0.08142818107295746	0.03552236087075326	0.09946261043810911	0.04526823936606248	0.0010019127425084252	0.0	0.0013662446488751253	7.286638127334002E-4	0.16039712177793972
17	9.108297659167502E-5	0.024592403679752253	3.643319063667001E-4	0.5477730212223335	0.08142818107295746	0.03534019491756991	0.09882502960196739	0.04545040531924583	7.286638127334002E-4	9.108297659167502E-5	0.0014573276254668003	7.286638127334002E-4	0.16312961107568996
18	1.8216595318335004E-4	0.02504781856271063	3.643319063667001E-4	0.5467711084798251	0.08142818107295746	0.03479369705801986	0.09609254030421714	0.04809181164040441	7.286638127334002E-4	0.0	0.0013662446488751253	6.375808361417251E-4	0.16449585572456507
19	2.7324892977502506E-4	0.02431915474997723	3.643319063667001E-4	0.5450405319245833	0.08142818107295746	0.03597777575371163	0.09846069769560069	0.046907732944712635	8.197467893250751E-4	0.0	0.0013662446488751253	8.197467893250751E-4	0.16422260679479006
