Iteration	Shared-Bike_travel	Shared-Bike_wait	bike_travel	bike_wait	car_travel	car_wait	car_passenger_travel	car_passenger_wait	eScooter_travel	eScooter_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	0	0	0	0	2115	0	227	0	0	0	33	28	0	0	751	0
1	1	0	0	0	1819	0	230	0	9	0	95	151	0	-1901	1340	0
2	2	0	0	0	1640	0	234	0	15	0	121	198	0	-3198	1709	0
3	3	0	0	0	1509	0	236	0	19	0	145	232	0	-4084	2085	0
4	5	0	0	0	1392	0	237	0	22	0	154	252	0	-4650	2380	0
5	6	0	0	0	1306	0	238	0	25	0	160	264	0	-4966	2500	0
6	5	0	0	0	1254	0	239	0	28	0	175	298	0	-5442	2566	0
7	5	0	1	0	1199	0	240	0	23	0	188	333	0	-5925	2628	0
8	6	0	1	0	1176	0	240	0	27	0	190	337	0	-6161	2647	0
9	6	0	1	0	1127	0	240	0	27	0	190	337	0	-6540	2782	0
10	6	0	1	0	1099	0	240	0	28	0	190	347	0	-6713	2794	0
11	5	0	1	0	1095	0	240	0	24	0	188	330	0	-6794	2920	0
12	5	0	1	0	1064	0	240	0	24	0	185	329	0	-6849	3020	0
13	5	0	0	0	1056	0	240	0	24	0	186	319	0	-6914	3053	0
14	5	0	0	0	1042	0	240	0	27	0	187	345	0	-6911	3067	0
15	4	0	0	0	1042	0	241	0	22	0	197	346	0	-7088	2997	0
16	4	0	1	0	1052	0	241	0	24	0	209	364	0	-6958	2969	0
17	5	0	0	0	1046	0	241	0	22	0	213	353	0	-7041	2962	0
18	5	0	0	0	1028	0	241	0	28	0	218	356	0	-7379	2970	0
19	6	0	0	0	1010	0	241	0	28	0	222	365	0	-7126	3029	0
20	5	0	0	0	1010	0	241	0	31	0	218	351	0	-7334	2988	0
21	6	0	1	0	1026	0	241	0	29	0	218	353	0	-7316	2906	0
22	5	0	0	0	1025	0	240	0	25	0	212	354	0	-7453	2870	0
23	5	0	0	0	1013	0	240	0	29	0	208	357	0	-7754	2908	0
24	6	0	0	0	1007	0	240	0	30	0	203	353	0	-7551	3016	0
25	5	0	0	0	1015	0	241	0	27	0	196	340	0	-7593	3045	0
26	6	0	0	0	1007	0	241	0	26	0	200	354	0	-7481	3071	0
27	5	0	0	0	1016	0	241	0	29	0	197	341	0	-7453	3008	0
28	6	0	0	0	1015	0	241	0	26	0	209	354	0	-7615	3036	0
29	6	0	1	0	1017	0	241	0	32	0	216	354	0	-7432	3053	0
30	5	0	1	0	1018	0	241	0	34	0	222	366	0	-7305	3010	0
31	6	0	1	0	1013	0	241	0	29	0	230	362	0	-7451	3044	0
32	5	0	1	0	1008	0	241	0	27	0	224	350	0	-7761	3139	0
33	6	0	1	0	989	0	241	0	29	0	224	353	0	-7657	3188	0
34	6	0	1	0	992	0	241	0	27	0	229	359	0	-7721	3054	0
35	7	0	1	0	1006	0	241	0	31	0	226	353	0	-7471	3044	0
36	6	0	1	0	1008	0	241	0	27	0	235	365	0	-7672	3035	0
37	7	0	1	0	1021	0	241	0	29	0	229	357	0	-7678	3026	0
38	7	0	1	0	1034	0	241	0	28	0	223	359	0	-7460	2957	0
39	6	0	0	0	1032	0	241	0	31	0	225	384	0	-7482	2911	0
40	7	0	1	0	1018	0	241	0	29	0	227	381	0	-7487	2972	0
41	6	0	0	0	1036	0	241	0	29	0	233	383	0	-7411	2997	0
42	6	0	0	0	1028	0	241	0	32	0	227	380	0	-7625	3020	0
43	7	0	0	0	1023	0	241	0	31	0	224	377	0	-7673	2985	0
44	6	0	0	0	1011	0	241	0	34	0	215	353	0	-7752	3078	0
45	7	0	1	0	1017	0	241	0	34	0	226	383	0	-7450	3004	0
46	7	0	1	0	1017	0	241	0	34	0	226	383	0	-7450	3004	0
47	7	0	1	0	1017	0	241	0	34	0	226	383	0	-7450	3004	0
48	7	0	1	0	1017	0	241	0	34	0	226	383	0	-7450	3004	0
49	7	0	1	0	1017	0	241	0	34	0	226	383	0	-7450	3004	0
50	7	0	1	0	1017	0	241	0	34	0	226	383	0	-7450	3004	0
