Iteration	Shared-Bike	bike	car	car_passenger	eScooter	pt	walk
0	0	0	69114	9057	0	1151	3244
1	11	0	58099	9056	86	3656	5788
2	28	2	51664	9055	153	4630	7383
3	42	2	47073	9054	194	5598	9008
4	57	0	43077	9045	216	5901	10283
5	70	4	40158	9047	250	6105	10803
6	62	4	38125	9040	278	6630	11088
7	68	8	35875	9036	232	7179	11352
8	72	10	35041	9019	266	7237	11438
9	69	9	33225	9020	273	7229	12018
10	71	11	32380	9018	282	7269	12072
11	65	11	32143	9018	241	7196	12613
12	63	11	30935	9015	236	7076	13046
13	67	5	30623	9014	243	7116	13191
14	58	5	30154	9012	271	7166	13252
15	52	5	30315	9016	225	7510	12947
16	53	7	30691	9014	241	7963	12827
17	59	5	30568	9014	225	8064	12798
18	63	4	30045	9006	277	8275	12833
19	76	4	29506	9004	282	8391	13087
20	68	3	29426	9005	305	8253	12912
21	69	7	29940	9004	292	8258	12557
22	58	5	29831	9013	251	8077	12400
23	63	4	29463	9010	289	7967	12562
24	68	4	29080	9004	299	7757	13028
25	64	1	29279	9006	268	7483	13155
26	74	2	28974	9006	260	7524	13267
27	68	2	29223	9007	291	7368	12996
28	76	5	29193	8999	259	7851	13115
29	73	7	29382	8998	321	8164	13192
30	64	7	29403	8999	343	8391	13004
31	72	11	29300	9000	286	8641	13150
32	62	10	29031	9005	266	8404	13563
33	73	8	28538	9005	288	8443	13773
34	78	10	28729	9010	267	8663	13197
35	83	8	29111	9010	311	8510	13150
36	72	8	29176	9015	268	8840	13114
37	83	8	29557	9015	290	8643	13073
38	89	11	30095	9015	276	8344	12775
39	79	4	29918	9025	310	8485	12578
40	87	6	29466	9026	295	8581	12842
41	77	5	30027	9026	292	8701	12949
42	72	4	29723	9022	318	8526	13047
43	81	4	29571	9016	315	8399	12896
44	76	5	29144	9019	345	8090	13300
45	82	10	29473	9020	336	8575	12979
46	82	10	29473	9020	336	8575	12979
47	82	10	29473	9020	336	8575	12979
48	82	10	29473	9020	336	8575	12979
49	82	10	29473	9020	336	8575	12979
50	82	10	29473	9020	336	8575	12979
