Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:56:16	17:56:16	17:56:16			17:56:16	17:56:16	17:56:17	17:56:17	17:56:17	17:56:17	17:56:17	17:56:36	17:56:36	17:56:36	17:56:36	17:56:36	17:56:36			17:56:40	17:56:40		00:00:00		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:04	00:00:23
1	17:56:40	17:56:40	17:56:40	17:56:40	17:56:43	17:56:43	17:56:43	17:56:44	17:56:44	17:56:44	17:56:44	17:56:44	17:57:00	17:57:00	17:57:00	17:57:00	17:57:00	17:57:00			17:57:01	17:57:01		00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:20
2	17:57:01	17:57:01	17:57:01	17:57:01	17:57:02	17:57:02	17:57:02	17:57:03	17:57:03	17:57:03	17:57:03	17:57:03	17:57:17	17:57:17	17:57:17	17:57:17	17:57:17	17:57:17			17:57:18	17:57:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:16
3	17:57:18	17:57:18	17:57:18	17:57:18	17:57:20	17:57:20	17:57:20	17:57:21	17:57:21	17:57:21	17:57:21	17:57:21	17:57:35	17:57:35	17:57:35	17:57:35	17:57:35	17:57:35			17:57:37	17:57:37		00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:02	00:00:18
4	17:57:37	17:57:37	17:57:37	17:57:37	17:57:39	17:57:39	17:57:39	17:57:40	17:57:40	17:57:40	17:57:41	17:57:41	17:57:57	17:57:57	17:57:57	17:57:57	17:57:57	17:57:57			17:57:58	17:57:58		00:00:00	00:00:01	00:00:01	00:00:01	00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:20
5	17:57:58	17:57:58	17:57:58	17:57:58	17:58:00	17:58:00	17:58:00	17:58:01	17:58:01	17:58:01	17:58:01	17:58:01	17:58:14	17:58:14	17:58:14	17:58:14	17:58:14	17:58:14			17:58:17	17:58:17		00:00:00	00:00:01	00:00:01	00:00:01	00:00:00	00:00:13	00:00:00	00:00:00		00:00:02	00:00:18
6	17:58:17	17:58:17	17:58:17	17:58:17	17:58:17	17:58:17	17:58:17	17:58:18	17:58:18	17:58:18	17:58:18	17:58:18	17:58:32	17:58:32	17:58:32	17:58:32	17:58:32	17:58:32			17:58:34	17:58:34		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:16
7	17:58:34	17:58:34	17:58:34	17:58:34	17:58:35	17:58:35	17:58:35	17:58:36	17:58:36	17:58:36	17:58:36	17:58:36	17:58:49	17:58:49	17:58:49	17:58:49	17:58:49	17:58:49			17:58:50	17:58:50		00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:16
8	17:58:50	17:58:50	17:58:50	17:58:50	17:58:51	17:58:51	17:58:51	17:58:51	17:58:51	17:58:51	17:58:52	17:58:52	17:59:03	17:59:03	17:59:03	17:59:03	17:59:03	17:59:03			17:59:05	17:59:05		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
9	17:59:05	17:59:05	17:59:05	17:59:05	17:59:06	17:59:06	17:59:06	17:59:07	17:59:07	17:59:07	17:59:07	17:59:07	17:59:18	17:59:18	17:59:18	17:59:18	17:59:18	17:59:18			17:59:20	17:59:20		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
